timestamp_utc,mmsi,latitude,longitude,cog,sog,true_heading,navigational_status,wetterzustand,luftdruck,windrichtung,windstaerke,bewoelkung,lufttemperatur,wassertemperatur,niederschlag,wellenhoehe
2025-10-23 14:38:29.41116055 +0000 UTC,244528000,50.72776,1.59782,360,0.1,511,5,Leichter Regen,989.9,294,39.8,97,12.2,15.1,0.0,2.46
2025-10-23 14:56:28.14879836 +0000 UTC,244528000,50.72776,1.59783,360,0.1,511,5,Leichter Regen,990.2,295,39.3,97,12.3,15.1,0.0,2.46
2025-10-23 15:35:25.854796291 +0000 UTC,244528000,50.72777,1.59786,360,0,511,5,Bedeckt,991.0,289,36.9,100,12.7,15.1,0.0,2.24
2025-10-23 21:26:27.235007123 +0000 UTC,244528000,50.72777,1.59783,360,0.1,511,5,Leichter Regen,997.7,293,46.3,100,9.8,14.9,0.2,2.34
2025-10-23 21:53:25.779693255 +0000 UTC,244528000,50.72779,1.59782,360,0.1,511,5,Leichter Regen,998.3,290,43.3,100,9.9,14.9,0.0,2.34
2025-10-23 22:32:26.968674721 +0000 UTC,244528000,50.72779,1.59784,360,0,511,5,Leichter Regen,998.8,289,40.6,100,10.2,14.9,0.0,2.34
2025-10-23 22:53:26.978737492 +0000 UTC,244528000,50.7278,1.59783,360,0.1,511,5,Leichter Regen,998.9,288,40.5,100,10.2,14.9,0.0,2.34
2025-10-23 23:29:29.033034101 +0000 UTC,244528000,50.7278,1.59782,360,0.1,511,5,Leichter Regen,999.1,288,39.3,96,10.1,14.8,0.0,2.34
2025-10-23 23:53:26.846082149 +0000 UTC,244528000,50.72781,1.59781,360,0,511,5,Leichter Regen,999.3,286,37.1,96,10.0,14.8,0.0,2.34
2025-10-24 02:02:26.286219565 +0000 UTC,244528000,50.72777,1.59781,360,0.1,511,5,Überwiegend klar,1000.1,282,35.7,38,10.1,14.7,0.0,2.42
2025-10-24 03:11:29.563601591 +0000 UTC,244528000,50.72777,1.59781,360,0,511,5,Überwiegend klar,1000.8,279,33.2,28,10.1,14.6,0.0,2.4
